number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
65,0.16176714426300431,2025-06-21 05:37:01.928602,2025-06-21 05:37:02.465607,0 days 00:00:00.537005,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,COMPLETE
66,0.1800471647269331,2025-06-21 05:37:02.466866,2025-06-21 05:37:02.940706,0 days 00:00:00.473840,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,COMPLETE
67,0.166733342950043,2025-06-21 05:37:02.941979,2025-06-21 05:37:03.395564,0 days 00:00:00.453585,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,COMPLETE
68,0.20788468567463597,2025-06-21 05:37:03.397012,2025-06-21 05:37:03.946593,0 days 00:00:00.549581,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,COMPLETE
69,0.1696437561047789,2025-06-21 05:37:03.947863,2025-06-21 05:37:04.439941,0 days 00:00:00.492078,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,COMPLETE
70,-0.003960068039755861,2025-06-21 05:37:04.441374,2025-06-21 05:37:04.922175,0 days 00:00:00.480801,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,COMPLETE
71,-0.060748416059443554,2025-06-21 05:37:04.923590,2025-06-21 05:37:05.483555,0 days 00:00:00.559965,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,COMPLETE
72,0.2211312696320044,2025-06-21 05:37:05.485069,2025-06-21 05:37:05.963562,0 days 00:00:00.478493,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,COMPLETE
73,-0.04902954043736565,2025-06-21 05:37:05.964869,2025-06-21 05:37:06.437622,0 days 00:00:00.472753,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,COMPLETE
74,0.21160489103312372,2025-06-21 05:37:06.438926,2025-06-21 05:37:06.993312,0 days 00:00:00.554386,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,COMPLETE
75,0.06445754829081853,2025-06-21 05:37:06.994576,2025-06-21 05:37:07.459114,0 days 00:00:00.464538,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,COMPLETE
76,0.04388040747450243,2025-06-21 05:37:07.460596,2025-06-21 05:37:07.932084,0 days 00:00:00.471488,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,COMPLETE
77,0.027409456755197462,2025-06-21 05:37:07.934226,2025-06-21 05:37:08.512629,0 days 00:00:00.578403,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,COMPLETE
78,0.17012176736844734,2025-06-21 05:37:08.514046,2025-06-21 05:37:08.995885,0 days 00:00:00.481839,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
79,0.22230544365022709,2025-06-21 05:37:08.997367,2025-06-21 05:37:09.585232,0 days 00:00:00.587865,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
80,0.22332552705326497,2025-06-21 05:37:09.586659,2025-06-21 05:37:10.066935,0 days 00:00:00.480276,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
81,0.07310350124203134,2025-06-21 05:37:10.068404,2025-06-21 05:37:10.532741,0 days 00:00:00.464337,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,COMPLETE
82,-0.05941789631738385,2025-06-21 05:37:10.534117,2025-06-21 05:37:11.100625,0 days 00:00:00.566508,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
83,-0.05880291742143949,2025-06-21 05:37:11.101932,2025-06-21 05:37:11.588288,0 days 00:00:00.486356,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
84,0.21426921062783308,2025-06-21 05:37:11.590309,2025-06-21 05:37:12.342259,0 days 00:00:00.751950,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
